Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,release_year
LARRY PINK THE HUMAN,ELEVEN11_GTR_SONG,40.0,0.496,0.863,5.0,-5.256,1,0.0365,0.000169,0.348,0.438,140.037,222267.0,4,2020
Mae,Embers And Envelopes,46.0,0.554,0.82,7.0,-6.156,1,0.0486,0.114,0.204,0.372,120.893,258107.0,3,2003
Red Sun Rising,Emotionless,40.0,0.57,0.702,3.0,-6.22,0,0.0331,0.000703,0.112,0.539,91.972,262733.0,4,2015
Queensr√øche,Empire - Remastered 2003,49.0,0.315,0.895,2.0,-4.519,1,0.0924,0.00216,0.0596,0.432,79.628,324067.0,4,1990
All Them Witches,Enemy of My Enemy,45.0,0.245,0.97,10.0,-5.319,0,0.0965,0.00121,0.317,0.311,178.956,209644.0,4,2020
Metallica,Enter Sandman,74.0,0.579,0.824,6.0,-8.71,0,0.03,0.00206,0.059,0.635,123.331,552621.7,4,1991
Crimson Sun,Essence of Creation,34.0,0.511,0.955,1.0,-5.059,1,0.129,0.0004,0.263,0.291,151.937,220413.0,4,2015
"Saint Sister, Mahogany",Eternal Flame,46.0,0.59,0.195,3.0,-9.096,1,0.0296,0.831,0.123,0.191,77.982,270911.7,3,2019
Barbra Streisand,"Evergreen (Love Theme from ""A Star Is Born"") - Live",22.0,0.383,0.143,8.0,-20.641,1,0.0357,0.762,0.231,0.0933,115.736,305000.0,3,1976
The Police,Every Breath You Take,84.0,0.82,0.452,1.0,-9.796,1,0.0348,0.543,0.0714,0.74,117.401,253920.0,4,1983
Thom Southern,everything i wanted,27.0,0.528,0.766,9.0,-7.525,1,0.0353,0.0249,0.352,0.403,127.017,260907.0,4,2020
Memphis Minnie & Kansas Joe,Evil Devil Woman Blues,29.0,0.476,0.0708,9.0,-16.237,1,0.0541,0.995,0.147,0.495,145.089,194351.0,3,1931
Bellah,Evil Eye - A COLORS SHOW,55.0,0.595,0.511,1.0,-8.409,0,0.197,0.613,0.432,0.784,103.748,175195.0,4,2022
Santana,"Evil Ways - Live at The Woodstock Music & Art Fair, August 16, 1969",32.0,0.587,0.672,7.0,-11.698,1,0.0445,0.0226,0.503,0.913,127.48,240640.0,4,1969
Half Me,Exitwound,32.0,0.483,0.974,8.0,-2.832,1,0.159,0.000114,0.966,0.327,93.455,209197.0,4,2023
Jackie Hayes,eye 2 eye,48.0,0.638,0.666,4.0,-6.951,0,0.0392,0.00784,0.314,0.651,131.962,185455.0,4,2021
The Alan Parsons Project,Eye In The Sky,70.0,0.823,0.417,2.0,-12.643,1,0.032,0.562,0.0765,0.522,111.928,276280.0,4,1982
Noah Cunane,F*CK ABOUT IT,49.0,0.364,0.936,9.0,-4.281,1,0.146,0.000626,0.427,0.579,180.191,100608.0,4,2021
Limp Bizkit,Faith,61.0,0.428,0.781,1.0,-6.823,0,0.281,0.0675,0.615,0.709,93.244,146480.0,4,1999
Jeff Jensen,Fall Apart,27.0,0.765,0.312,7.0,-9.578,1,0.0374,0.533,0.12,0.277,121.957,267358.0,4,2015
Sons Of Apollo,Fall to Ascend,35.0,0.536,0.987,1.0,-4.369,1,0.121,1.94E-05,0.0707,0.278,130.016,306613.0,4,2017
Velvet Revolver,Fall to Pieces,63.0,0.464,0.887,6.0,-4.65,1,0.0499,0.000429,0.126,0.23,132.759,271240.0,4,2004
Chromeo,Fancy Footwork,48.0,0.686,0.902,5.0,-3.154,0,0.0304,0.00575,0.125,0.648,129.971,198020.0,4,2007
Iron Maiden,Fear Of The Dark,52.0,0.301,0.813,2.0,-8.786,0,0.0568,0.000674,0.197,0.236,109.25,436960.0,4,1998
Wake Up Hate,Feel Free to Miss Me,45.0,0.522,0.977,5.0,-2.586,0,0.18,0.00165,0.799,0.495,89.946,148419.0,4,2018
Skillet,Feel Invincible,73.0,0.603,0.886,5.0,-3.777,0,0.0837,0.00045,0.26,0.395,126.025,229933.0,4,2016
Josh Fudge,FEEL LIKE,58.0,0.592,0.733,5.0,-7.09,1,0.0544,0.109,0.591,0.695,104.977,188143.0,4,2021
blink-182,Feeling This,66.0,0.411,0.962,4.0,-5.952,1,0.0917,0.103,0.529,0.622,173.143,172646.0,4,2003
Dua Lipa,Fever,78.0,0.868,0.693,6.0,-7.052,0,0.181,0.0597,0.106,0.396,114.999,156911.0,4,2020
The Sunday Estate,Fight Me,36.0,0.493,0.763,2.0,-5.603,1,0.0344,5.19E-05,0.0986,0.215,127.948,241691.0,4,2020
Waxahatchee,Fire,55.0,0.5,0.451,7.0,-11.81,1,0.0529,0.674,0.138,0.186,84.566,217373.0,4,2020
Midnight Oil,First Nation (feat. Jessica Mauboy & Tasman Keith),31.0,0.65,0.747,9.0,-6.691,0,0.0283,0.0291,0.45,0.256,108.013,291507.0,4,2020
Buddy Guy,First Time I Met The Blues,34.0,0.459,0.634,7.0,-6.348,1,0.05,0.58,0.0547,0.725,99.961,137427.0,4,1960
Joeboy,Focus,52.0,0.818,0.512,7.0,-10.765,1,0.136,0.39,0.102,0.544,101.995,152941.0,4,2021
Pop Evil,Footsteps,62.0,0.632,0.72,2.0,-8.4,0,0.0838,0.0143,0.0696,0.749,91.965,262107.0,4,2013
Keb' Mo',For Better or Worse,32.0,0.558,0.322,7.0,-11.802,1,0.0343,0.754,0.11,0.286,73.868,205107.0,4,2000
Buffalo Springfield,For What It's Worth,76.0,0.653,0.519,2.0,-10.164,1,0.0497,0.406,0.101,0.822,98.883,153693.0,4,1966
The Teskey Brothers,Forever You and Me,58.0,0.509,0.467,8.0,-4.94,1,0.0331,0.436,0.0971,0.538,175.159,175593.0,3,2020
Petey Pablo,Freek-A-Leek,55.0,0.737,0.697,2.0,-3.716,1,0.254,0.0756,0.359,0.662,104.917,235187.0,4,2004
Rostam,From The Back of a Cab,54.0,0.686,0.873,1.0,-5.002,1,0.0916,0.356,0.0936,0.711,65.998,167320.0,4,2019
Death Blooms,Fuck Everything,40.0,0.599,0.979,1.0,-2.782,0,0.116,0.000425,0.301,0.226,105.979,190387.0,4,2021
Silent Child,Fuck You,64.0,0.617,0.557,10.0,-5.931,0,0.0381,0.155,0.48,0.355,143.912,183333.0,4,2020
Strangers of Necessity,Fundamental,39.0,0.878,0.266,11.0,-9.115,0,0.312,0.0932,0.0858,0.911,140.976,164250.0,4,2019
The Wrecks,Fvck Somebody,54.0,0.533,0.661,6.0,-5.196,0,0.0418,0.0239,0.347,0.603,142.079,181013.0,4,2020
Do Nothing,Gangs,14.0,0.797,0.536,1.0,-12.147,1,0.0613,0.00454,0.0856,0.842,110.042,300512.0,4,1952
Mr. Oizo,Gay Dentists,25.0,0.736,0.97,1.0,-4.955,1,0.128,0.000228,0.148,0.703,128.59,218493.0,4,2021
No Somos Marineros,Gemelos C√≥ctel,30.0,0.586,0.59,4.0,-8.834,1,0.0333,0.456,0.152,0.264,147.141,231640.0,5,2014
Layla Zoe,Gemini Heart,37.0,0.469,0.445,10.0,-8.452,1,0.0286,0.682,0.119,0.237,107.865,370760.0,3,2018
TOTO,Georgy Porgy,61.0,0.799,0.783,11.0,-7.703,0,0.0847,0.0519,0.127,0.918,97.207,247587.0,4,1978
Yuck,Get Away,30.0,0.468,0.693,9.0,-2.301,1,0.0378,0.00247,0.236,0.538,133.052,215573.0,4,2011
Billy Ocean,"Get Outta My Dreams, Get into My Car",63.0,0.666,0.91,4.0,-6.457,1,0.0399,0.0874,0.336,0.919,117.14,284373.0,4,1988
Katzin,Getaway,48.0,0.889,0.607,7.0,-6.834,1,0.0671,0.093,0.113,0.851,135.001,128000.0,4,2022
Emma McGrath,Getaway Train,37.0,0.498,0.222,2.0,-11.946,1,0.0348,0.978,0.106,0.224,121.761,228428.0,4,2022
Opeth,Ghost of Perdition,52.0,0.292,0.818,9.0,-6.227,0,0.0413,0.000697,0.0544,0.19,93.924,629480.0,3,2005
The Stooges,Gimme Danger - Alternate 'Violent' Iggy Mix,45.0,0.378,0.951,3.0,0.45,0,0.0566,0.00329,0.135,0.249,132.06,213093.0,4,1973
Terri Clark,Girls Lie Too - Greatest Hits Version,50.0,0.499,0.883,4.0,-4.742,1,0.0451,0.0689,0.163,0.533,138.801,357000.0,4,2005
The Heavy Eyes,God Damn Wolf Man,38.0,0.383,0.892,9.0,-5.613,0,0.0758,0.000643,0.409,0.75,82.979,169781.0,4,2015
The Beach Boys,God Only Knows - Remastered 1997 / Mono,71.0,0.521,0.487,6.0,-7.525,0,0.0299,0.253,0.0579,0.483,117.072,173040.0,4,1966
Son Seals,Going Back Home,35.0,0.379,0.505,2.0,-9.734,0,0.0362,0.84,0.612,0.893,172.141,423800.0,3,1975
Led Zeppelin,Going to California - Remaster,67.0,0.503,0.265,2.0,-15.913,1,0.0333,0.943,0.0867,0.522,78.044,212161.0,4,1971
Joe Louis Walker,Going To Canada,37.0,0.536,0.417,11.0,-13.785,0,0.123,0.72,0.312,0.758,95.997,234907.0,4,2008
The Staves,Good Woman,56.0,0.628,0.345,1.0,-12.505,1,0.0289,0.425,0.119,0.116,99.991,197640.0,4,2020
Pixies,Gouge Away,23.0,0.616,0.505,4.0,-13.394,1,0.0291,0.156,0.409,0.41,114.068,176843.0,4,1989
Piebald,Grace Kelly With Wings,28.0,0.316,0.885,9.0,-3.412,0,0.221,0.0106,0.0964,0.298,77.775,325520.0,4,2002
Huey Briss,Grace Park Legend (Norfside),37.0,0.567,0.639,3.0,-7.297,0,0.24,0.212,0.916,0.626,90.061,251568.0,4,2020
Lonnie Brooks,Greasy Man,20.0,0.723,0.354,5.0,-15.958,1,0.0382,0.55,0.115,0.842,81.47,356773.0,4,1996
Bongzilla,Greenthumb,41.0,0.23,0.95,8.0,-6.288,1,0.0657,0.000173,0.108,0.302,132.238,247013.0,4,2016
IDLES,Grounds,50.0,0.562,0.537,7.0,-6.273,0,0.073,0.00623,0.316,0.465,100.757,188716.0,4,2020
Ms. Lauryn Hill,"Guarding The Gates - From ""Queen & Slim: The Soundtrack""",48.0,0.322,0.74,11.0,-6.393,1,0.117,0.127,0.361,0.317,148.604,360312.0,4,2019
Nervosa,Guided by Evil,31.0,0.512,0.948,1.0,-7.587,1,0.0412,2.8E-05,0.342,0.134,100.043,210047.0,4,2018
Dwight Yoakam,"Guitars, Cadillacs",51.0,0.581,0.917,9.0,-3.519,1,0.0746,0.26,0.141,0.86,171.663,308733.3,3,1986
Quivers,Gutters Of Love,15.0,0.517,0.503,2.0,-8.642,1,0.0311,0.0117,0.129,0.548,121.217,244453.0,4,2020
DJ Chose,H2O,53.0,0.789,0.691,1.0,-5.315,0,0.153,0.236,0.353,0.512,158.059,151904.0,4,1998
Yehudit Ravitz,Hakol Beseder - Omri Smadar Remix,35.0,0.679,0.948,9.0,-6.095,1,0.0432,0.0355,0.0719,0.906,122.988,261132.0,4,2020
Islands,Hallways,40.0,0.681,0.735,10.0,-6.984,1,0.0332,0.343,0.351,0.725,106.085,173680.0,4,2012
Flobots,Handlebars,62.0,0.704,0.571,5.0,-7.136,1,0.0969,0.0222,0.101,0.524,141.888,206813.0,4,2008
Dashboard Confessional,Hands Down,62.0,0.463,0.827,3.0,-4.085,1,0.0437,0.013,0.0964,0.26,94.035,186867.0,4,2003
Cold War Kids,Hang Me Up To Dry,56.0,0.507,0.918,11.0,-2.815,0,0.0308,0.0179,0.504,0.676,92.39,218787.0,4,2006
Pharrell Williams,"Happy - From ""Despicable Me 2""",80.0,0.647,0.822,5.0,-4.662,0,0.183,0.219,0.0908,0.962,160.019,232720.0,4,2013
Magnus Öström,Happy and the Fall,32.0,0.487,0.609,10.0,-14.573,0,0.0271,0.522,0.12,0.529,91.677,559266.7,4,2020
Crafty 893,Happy Belated,30.0,0.679,0.307,8.0,-13.473,1,0.227,0.0783,0.113,0.165,163.94,196098.0,4,2021
Pom Pom Squad,Head Cheerleader,44.0,0.525,0.922,7.0,-6.136,1,0.0735,0.000167,0.77,0.494,142.971,188243.0,4,2020
Beyond The Black,Heart of the Hurricane,44.0,0.491,0.833,2.0,-5.743,0,0.0422,4.69E-05,0.294,0.334,140.005,219998.0,4,2018
Eric Church,Heart On Fire,65.0,0.653,0.927,8.0,-4.699,1,0.0289,0.0352,0.0966,0.894,119.97,431333.3,4,2021
Tate McRae,Heather - Spotify Singles,63.0,0.569,0.271,10.0,-10.969,1,0.0271,0.886,0.103,0.352,91.888,190652.0,4,2020
Lacuna Coil,Heaven's a Lie,52.0,0.426,0.881,4.0,-3.458,0,0.0403,0.0011,0.124,0.384,140.004,286533.0,4,2002
Nikki Hill,Heavy Hearts Hard Fists,33.0,0.759,0.573,6.0,-5.924,1,0.0276,0.383,0.116,0.864,117.551,197640.0,4,2020
Reverend And The Makers,Heavyweight Champion of the World,56.0,0.546,0.838,9.0,-2.406,1,0.0407,0.00606,0.104,0.761,132.969,205227.0,4,2007
The Guild,Heir to the Serpent,29.0,0.227,0.982,2.0,-4.534,1,0.135,0.000306,0.13,0.0576,110.05,263183.0,4,2019
Tyler Leads,Hellhounds,27.0,0.293,0.978,5.0,-4.882,1,0.087,5.51E-05,0.518,0.514,141.714,174378.0,4,2020
Metric,Help I'm Alive,60.0,0.565,0.877,5.0,-4.561,0,0.0614,0.00813,0.26,0.389,118.484,285920.0,4,2009
Backstreet Boys,Helpless When She Smiles - Radio Version,48.0,0.393,0.849,11.0,-4.114,1,0.0459,0.00421,0.162,0.222,74.028,409311.7,4,2007
David Bowie,Heroes - 2017 Remaster,75.0,0.49,0.758,7.0,-6.491,1,0.0297,0.000671,0.092,0.435,112.114,371413.0,4,1977
Fountains Of Wayne,Hey Julie,54.0,0.739,0.554,7.0,-5.668,1,0.0363,0.39,0.0785,0.978,137.013,156933.0,4,2003
stef,"hi, my name is lonely.",48.0,0.864,0.69,7.0,-5.097,0,0.102,0.00861,0.212,0.566,126.035,170667.0,4,2021
Cry Of Love,Highway Jones,39.0,0.611,0.675,11.0,-10.327,1,0.0378,0.00282,0.238,0.605,127.746,312200.0,4,1993
Island Apollo,Hold It Down,40.0,0.571,0.719,8.0,-7.193,0,0.0288,0.00274,0.19,0.613,91.984,238508.0,4,2016
Santana,Hold On,54.0,0.671,0.516,7.0,-15.981,0,0.0519,0.488,0.138,0.711,124.699,261027.0,4,1982
Arlo Parks,Hope,57.0,0.59,0.521,1.0,-8.823,0,0.0335,0.404,0.357,0.423,99.165,270067.0,4,2021
T. Rex,Hot Love,55.0,0.565,0.543,11.0,-8.505,0,0.0376,0.0839,0.0867,0.486,130.983,295480.0,4,1971
Jools,How Can Some Experience What Pride Is Without Liberation for All?,40.0,0.477,0.941,8.0,-4.152,1,0.0623,0.00287,0.123,0.466,74.959,212743.0,4,2021
KennyHoopla,how will i rest in peace if i'm buried by a highway?//,63.0,0.479,0.844,1.0,-4.338,0,0.0819,0.0134,0.195,0.49,159.852,218533.0,4,2020
Mohammed Rafi,Hum Laye Hain Toofan Se,5.0,0.567,0.301,4.0,-13.676,1,0.0502,0.984,0.133,0.892,138.052,486845.0,3,1962
Sjowgren,Human Condition,46.0,0.561,0.798,10.0,-4.619,0,0.0389,0.0219,0.109,0.422,93.028,131619.0,4,2021
Tim McGraw,Humble And Kind,68.0,0.355,0.48,11.0,-7.31,1,0.0282,0.679,0.12,0.137,100.956,432111.7,3,2015
Trick or Treat,Hungarian Hangover,33.0,0.489,0.93,5.0,-4.834,1,0.11,0.00178,0.338,0.401,95.083,232067.0,4,2020
MS MR,Hurricane,53.0,0.564,0.68,2.0,-6.487,1,0.0357,0.231,0.247,0.262,89.938,226373.0,4,2013
Three Days Grace,I Am Machine,68.0,0.402,0.97,2.0,-4.538,0,0.0668,1.29E-05,0.189,0.476,75.106,200147.0,4,2015
The Beatles,I Am The Walrus,63.0,0.401,0.556,2.0,-10.532,1,0.0513,0.0828,0.589,0.654,85.206,275867.0,4,1967
Willie Dixon,I Can't Quit You Baby,50.0,0.469,0.236,7.0,-16.981,1,0.0364,0.407,0.215,0.415,82.232,399173.0,4,1956
Buttering Trio,I Cried For You,42.0,0.736,0.554,7.0,-8.79,1,0.17,0.135,0.103,0.435,98.989,243663.0,4,2016
John Lee Hooker,I Didn't Know - Live,31.0,0.585,0.716,4.0,-8.755,0,0.0787,0.0214,0.985,0.578,137.919,198040.0,4,1960
Gucci Mane,I Get the Bag (feat. Migos),73.0,0.89,0.633,11.0,-5.475,1,0.168,0.0232,0.0993,0.425,139.948,233087.0,4,2017
The Bamboos,I Got Burned,37.0,0.759,0.738,9.0,-5.255,0,0.051,0.0435,0.23,0.771,120.038,260853.0,4,2004
George Thorogood,I Got My Eyes On You,41.0,0.405,0.905,2.0,-2.572,1,0.0327,5.43E-05,0.235,0.705,157.228,214067.0,4,2006
Gabby Barrett,I Hope (feat. Charlie Puth),70.0,0.554,0.576,6.0,-6.495,1,0.0399,0.171,0.159,0.409,74.942,209763.0,4,2020
DIAMANTE,I Love Myself For Hating You,41.0,0.554,0.85,3.0,-5.621,0,0.0418,0.0006,0.0665,0.653,133.958,183173.0,4,2016
Toby Keith,I Love This Bar,64.0,0.608,0.825,2.0,-6.303,1,0.0419,0.024,0.346,0.454,115.049,558888.3,4,2003
Hockey Dad,I Missed Out,41.0,0.291,0.963,10.0,-3.881,0,0.0726,0.000146,0.173,0.306,86.187,213448.0,4,2020
Ramones,I Wanna Be Sedated - 2002 Remaster,61.0,0.597,0.96,11.0,-3.989,1,0.042,0.169,0.105,0.937,163.017,149467.0,4,1978
CAN,I Want More,41.0,0.806,0.6,9.0,-11.02,1,0.0535,0.0251,0.0408,0.932,113.544,214227.0,4,1976
The Early November,I Want To Hear You Sad,39.0,0.507,0.748,1.0,-5.264,1,0.0303,0.00604,0.176,0.743,92.653,210053.0,4,2020
Citizen,I Want to Kill You,50.0,0.584,0.876,10.0,-3.635,0,0.0652,0.00698,0.0895,0.703,149.976,192107.0,4,2021
Laura Zocca,I Want You Back,51.0,0.41,0.0938,4.0,-13.782,1,0.0462,0.896,0.118,0.294,178.318,277398.3,3,2020
Céline Dion,I'm Alive - Live,32.0,0.608,0.773,8.0,-7.074,1,0.0792,0.126,0.99,0.435,101.99,428111.7,4,2008
Sudan Archives,Iceland Moss - A COLORS SHOW,40.0,0.64,0.437,4.0,-9.796,0,0.0331,0.225,0.0796,0.15,80.007,211875.0,4,2020
Sugar,If I Can't Change Your Mind,40.0,0.357,0.992,5.0,-3.663,1,0.0555,0.123,0.14,0.77,160.916,198933.0,4,1992
Sena Ehrhardt,If Trouble Was Money,33.0,0.355,0.541,7.0,-6.715,0,0.0358,0.262,0.0929,0.386,179.436,349067.0,3,2018
Forest Blakk,If You Love Her,76.0,0.286,0.445,6.0,-8.087,1,0.0347,0.355,0.114,0.278,50.827,217352.0,4,2020
"Lata Mangeshkar, Kishore Kumar",Ik Rasta Hai Zindagi,18.0,0.478,0.5,7.0,-11.133,0,0.0497,0.139,0.401,0.694,116.691,528578.3,4,1970
Pantera,Immortally Insane,40.0,0.352,0.915,8.0,-3.727,1,0.0586,4.13E-05,0.208,0.264,82.589,311083.0,4,2000
Mot√∂rhead,In the Name of Tragedy,53.0,0.449,0.994,8.0,-4.836,1,0.0824,0.000106,0.102,0.447,149.91,183640.0,4,2004
The Goon Sax,In the Stone,36.0,0.649,0.798,11.0,-5.589,0,0.0264,0.136,0.269,0.792,111.941,247051.0,4,2020
Scorpions,In Trance,46.0,0.588,0.698,10.0,-5.92,1,0.0353,0.026,0.343,0.223,136.312,230013.0,4,2019
Doctor Ross,Industrial Boogie,4.0,0.598,0.448,7.0,-11.325,1,0.0463,0.822,0.294,0.444,100.785,157720.0,4,1952
Goldfinger,Infinite,50.0,0.465,0.972,8.0,-3.68,1,0.141,0.00146,0.361,0.632,169.982,145075.0,4,2020
Van Morrison,Into the Mystic,72.0,0.608,0.524,8.0,-10.266,1,0.0309,0.367,0.115,0.797,86.204,342688.3,4,1970
Masati,Intoxicated Truth,36.0,0.685,0.669,1.0,-6.126,1,0.0355,0.729,0.112,0.38,110.003,176727.0,4,2020
The Sword,Iron Swan,39.0,0.267,0.671,5.0,-7.422,1,0.0436,3.14E-05,0.128,0.38,162.124,346093.0,4,2006
Department S,Is Vic There?,39.0,0.488,0.744,9.0,-13.597,0,0.0455,0.00201,0.312,0.759,149.43,186773.0,4,1980
HEALTH,ISN‚ÄôT EVERYONE,63.0,0.459,0.698,2.0,-8.079,0,0.051,0.0294,0.139,0.165,147.954,314719.0,4,2021
HEALTH,ISN‚ÄôT EVERYONE,63.0,0.459,0.698,2.0,-8.079,0,0.051,0.0294,0.139,0.165,147.954,314719.0,4,2021
Ozzy Osbourne,It's A Raid (feat. Post Malone),50.0,0.472,0.996,1.0,-0.578,1,0.16,0.00687,0.392,0.114,117.004,260017.0,4,2020
No Doubt,It's My Life,47.0,0.606,0.75,8.0,-4.535,0,0.0306,0.00264,0.321,0.771,126.316,225867.0,4,2003
Wendy Marcini,It's Your Smile,52.0,0.274,0.351,8.0,-12.784,1,0.0362,0.957,0.126,0.128,59.043,293286.7,4,2019
Bombino,Iyat Ninhay / Jaguar (A Great Desert I Saw),40.0,0.215,0.832,11.0,-6.76,0,0.0504,0.000958,0.519,0.668,78.063,367185.0,4,2016
Elvis Presley,Jailhouse Rock,68.0,0.647,0.582,10.0,-9.538,0,0.0755,0.41,0.0715,0.915,167.396,244133.3,4,1957
TOOL,Jambi,63.0,0.475,0.831,9.0,-7.419,0,0.0505,0.000145,0.346,0.521,110.42,448613.0,3,2006
Outkast,Jazzy Belle,58.0,0.878,0.65,11.0,-8.08,0,0.252,0.0178,0.0408,0.101,92.03,251667.0,4,1998
Eyedress,Jealous,79.0,0.474,0.91,9.0,-10.431,0,0.0462,0.00498,0.476,0.745,93.01,122339.0,4,2019
Master KG,"Jerusalema (feat. Micro TDH, Greeicy & Nomcebo Zikode) [Remix]",60.0,0.841,0.587,1.0,-6.489,1,0.0435,0.00351,0.0669,0.802,124.006,218982.0,4,2020
Master KG,Jerusalema (feat. Nomcebo Zikode),80.0,0.88,0.483,1.0,-7.012,1,0.0505,0.0185,0.0607,0.827,124.009,342613.0,4,2019
Coheed and Cambria,Jessie's Girl 2 (feat. Rick Springfield),45.0,0.479,0.929,2.0,-4.155,1,0.0716,0.0109,0.0819,0.674,155.185,231578.0,4,2020
The Primeridian,Jigsaw,32.0,0.802,0.877,1.0,-6.477,1,0.247,0.117,0.484,0.54,94.2,252200.0,4,2020
Visions,José González,53.0,0.516,0.243,2.0,-11.832,1,0.0319,0.872,0.0999,0.204,97.526,392955.0,4,2020
Hildegard,Jour 3,33.0,0.602,0.45,3.0,-10.715,1,0.266,0.857,0.278,0.486,158.032,186544.0,4,2021
DaVido,Jowo,63.0,0.552,0.656,10.0,-4.941,1,0.204,0.706,0.0744,0.804,67.379,176471.0,3,2020
The War and Treaty,Jubilee,45.0,0.55,0.123,2.0,-11.093,1,0.0313,0.86,0.106,0.307,79.06,142853.0,4,2020
Lizzo,Juice,77.0,0.767,0.889,7.0,-2.988,1,0.0963,0.00611,0.402,0.843,119.93,195145.0,4,2019
The Strokes,Juicebox,59.0,0.462,0.981,2.0,-2.371,0,0.127,0.00166,0.0856,0.547,154.995,194573.0,4,2005
Kris Kross,Jump,67.0,0.749,0.745,2.0,-10.625,1,0.164,0.000501,0.333,0.481,101.972,195107.0,4,1992
Phil Vassar,Just Another Day In Paradise,61.0,0.596,0.706,2.0,-5.562,1,0.0261,0.359,0.36,0.705,146.095,389800.0,4,2000
Bass Drum of Death,Just Business,37.0,0.531,0.976,7.0,-7.339,1,0.0448,0.000175,0.392,0.527,115.029,244800.0,4,2018
"Moe Bandy, Joe Stampley",Just Good Ol' Boys,37.0,0.607,0.598,10.0,-8.875,1,0.0739,0.665,0.136,0.733,151.233,258711.7,4,1982
For Tracy Hyde,Just Like Fireflies,30.0,0.342,0.875,2.0,-3.623,1,0.0789,0.000112,0.103,0.46,149.139,160262.0,4,2016
The M√∂nic,Just Mad,29.0,0.324,0.798,2.0,-8.417,1,0.031,0.0518,0.256,0.534,168.132,172217.0,4,2019
"Rekha, Vinod Khanna, Ram P. Sethi",Kahiye Zohara Begum (with Dialogues),5.0,0.534,0.291,5.0,-20.118,0,0.565,0.993,0.547,0.328,134.596,1999355.0,5,1971
Ballaké Sissoko,Kalanso,30.0,0.332,0.112,9.0,-17.317,0,0.0371,0.986,0.118,0.467,91.801,329355.0,4,2003
MOD SUN,Karma,60.0,0.461,0.825,8.0,-3.583,1,0.115,0.0246,0.224,0.412,198.045,159394.0,4,2020
BeatKing,Keep It Poppin (feat. Ludacris & Queendom Come),58.0,0.897,0.575,1.0,-4.954,1,0.367,0.0298,0.0874,0.127,148.066,158189.0,4,2021
MC5,Kick out the Jams,39.0,0.329,0.806,1.0,-11.925,1,0.0596,0.0565,0.355,0.619,142.625,181760.0,4,1969
PUP,Kids,39.0,0.783,0.693,10.0,-7.764,0,0.0972,0.131,0.0171,0.854,108.022,345528.0,4,2019
Britney Spears,Kill the Lights,47.0,0.741,0.622,8.0,-5.878,1,0.0404,0.00887,0.15,0.625,122.013,398688.3,4,2008
Lilith Czar,King,47.0,0.439,0.726,4.0,-6.53,0,0.042,0.000518,0.0857,0.403,99.054,207386.0,4,2021
Charley Pride,Kiss an Angel Good Mornin',49.0,0.684,0.498,4.0,-10.836,1,0.03,0.708,0.365,0.905,131.855,205221.7,4,1971
Sixpence None The Richer,Kiss Me,76.0,0.526,0.749,3.0,-6.964,1,0.0283,0.023,0.0692,0.421,99.982,208680.0,4,1998
Cherym,Kisses On My Cards,25.0,0.459,0.953,4.0,-5.578,1,0.0724,0.000121,0.135,0.512,142.003,189248.0,4,2021
Phoebe Bridgers,Kyoto (Copycat Killer Version),50.0,0.149,0.299,11.0,-11.163,1,0.0351,0.92,0.202,0.273,83.734,181213.0,5,2021
Marilina Bertoldi,La Casa de A,53.0,0.592,0.449,9.0,-8.249,1,0.0344,0.00601,0.0734,0.617,179.994,196072.0,4,2020
La Rata Bluesera,La Daga,30.0,0.582,0.622,9.0,-10.752,0,0.0465,0.128,0.616,0.619,95.221,242190.0,4,2016
Nessa Barrett,la di die (feat. jxdn),80.0,0.484,0.643,1.0,-4.72,1,0.0416,0.0036,0.243,0.345,163.97,195191.0,4,2021
Sila Lua,La Mano,31.0,0.519,0.366,8.0,-14.319,1,0.0497,0.598,0.117,0.372,79.789,191748.0,4,2021
"Suresh Wadkar, Anupama",Lagi Aaj Sawan Ki,32.0,0.436,0.693,7.0,-7.41,0,0.0448,0.877,0.146,0.351,93.885,358778.3,4,1990
Fragile Animals,Landing,26.0,0.522,0.874,4.0,-6.037,0,0.0312,0.000638,0.327,0.361,119.997,232333.0,4,2019
Angel Olsen,Lark,35.0,0.444,0.561,7.0,-8.383,1,0.0323,0.00294,0.226,0.0431,98.992,378827.0,4,2019
King Crimson,Larks' Tongues In Aspic (Part I),37.0,0.321,0.27,7.0,-15.777,1,0.0844,0.371,0.0864,0.0748,154.058,815675.0,4,1973
Good Charlotte,Last December,56.0,0.408,0.949,8.0,-3.187,0,0.168,0.000142,0.26,0.341,155.124,189060.0,4,2020
Shanice Green,Last Forever,35.0,0.719,0.386,9.0,-9.401,0,0.0613,0.716,0.0905,0.278,144.951,226132.0,3,2020
Papa Roach,Last Resort,81.0,0.589,0.89,4.0,-3.719,0,0.0603,0.000481,0.201,0.692,90.598,199907.0,4,2000
Strange Girl,Laura Marling,53.0,0.682,0.74,2.0,-9.886,1,0.0445,0.286,0.0812,0.904,98.999,336488.3,4,2021
Lloyd Price,Lawdy Miss Clawdy,38.0,0.439,0.859,3.0,-4.847,1,0.0419,0.799,0.278,0.842,131.657,108827.0,4,1952
Unida,Left Us To Mold,36.0,0.214,0.942,5.0,-3.928,0,0.157,0.000359,0.0942,0.391,130.433,346117.0,4,1999
